conc_layer_name,conc_name,conc_parties,company_id,company_name,company_person_name,pep_given_name,pep_family_name,pep_menbership_role,pep_organization_name
Licença de Prospecção e Pesquisa,,"MAB MINING, LIMITADA ",57687,"MAB Mining, Limitada",Morais Mabyeka,Morais,Mabyeka,member,Central Committee
Licença de Prospecção e Pesquisa,,"MARARA INVESTIMENTOS, LDA ",55365,"Marara Investimentos, Limitada",,,....,Embassada,Indonésia Embassy
Licença de Prospecção e Pesquisa,,"MARARA INVESTIMENTOS, LDA ",55365,"Marara Investimentos, Limitada",,,,Vice-President,Supreme Court
Licença de Prospecção e Pesquisa,,"MARARA INVESTIMENTOS, LDA ",55365,"Marara Investimentos, Limitada",,,,,
Licença de Prospecção e Pesquisa,,"Tazetta Resources, Limitada ",41678,"Tazetta Resources, Limitada",,,....,Embassada,Indonésia Embassy
Licença de Prospecção e Pesquisa,,"Tazetta Resources, Limitada ",41678,"Tazetta Resources, Limitada",,,,Vice-President,Supreme Court
Licença de Prospecção e Pesquisa,,"Tazetta Resources, Limitada ",41678,"Tazetta Resources, Limitada",,,,,
Todas Licenças Extinto,1419CM,Conferencia de Moçambique Lda,19884,"Conferências de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,___,National Consul of Defense and Safety
Todas Licenças Extinto,1419CM,Conferencia de Moçambique Lda,19884,"Conferências de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,member,Central Committee
Todas Licenças Extinto,1422L,Conferencia de Moçambique Lda,19884,"Conferências de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,___,National Consul of Defense and Safety
Todas Licenças Extinto,1422L,Conferencia de Moçambique Lda,19884,"Conferências de Moçambique, Limitada",Marina Pachinuapa,Marina,Pachinuapa,member,Central Committee
Todas Licenças Extinto,1593L,"Tazetta Resources, Limitada",41678,"Tazetta Resources, Limitada",,,....,Embassada,Indonésia Embassy
Todas Licenças Extinto,1593L,"Tazetta Resources, Limitada",41678,"Tazetta Resources, Limitada",,,,Vice-President,Supreme Court
Todas Licenças Extinto,1593L,"Tazetta Resources, Limitada",41678,"Tazetta Resources, Limitada",,,,,
Todas Licenças Extinto,2988L,"Minerais de Moçambique, Lda",37356,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Todas Licenças Extinto,2988L,"Minerais de Moçambique, Lda",37357,"Minerais de Moçambique, Limitada",Ganha Ah Kom,Ganha,Ah Khom,member,Central Committee
Todas Licenças Extinto,3930CM,"Maputo Ciment and Steel, Lda",55382,"Maputo Ciment And Steel, Limitada",,,....,Embassada,Indonésia Embassy
Todas Licenças Extinto,3930CM,"Maputo Ciment and Steel, Lda",55382,"Maputo Ciment And Steel, Limitada",,,,Vice-President,Supreme Court
Todas Licenças Extinto,3930CM,"Maputo Ciment and Steel, Lda",55382,"Maputo Ciment And Steel, Limitada",,,,,
Todas Licenças Extinto,,"Coal Min Mozambique, Lda. ",60556,"Coal Min Mozambique, Limitada",Deolinda Guezimane,Deolinda,Guezimane,member,Central Committee
