PL NO.,COMPANY,COMMODITY,STATUS,EXPIRY DATE,AREA,MINERAL RIGHT,AREA ORIG
PL687/2009,Amagram (Pty) Ltd,Coal,Original,20120930,240.10,Energy,240.10
PL096/2005,African Energy Resources (Pty) Ltd,"Precious, Base Metals, PGE, Coal, Uranium and CBM",Second Renewal,20120930,286.90,"Metals,Radio,Energy",286.90
PL075/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",First Renewal,20120930,303.00,Metals,303.00
PL149/2010,Debswana Diamond Company (Pty) Ltd,Precious Stones,Original,20120930,332.94,,332.94
PL078/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",First Renewal,20120930,353.00,Metals,353.00
PL079/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",First Renewal,20120930,354.00,Metals & Radioactive,354.00
PL118/2005,Gcwihaba Resources (Pty) Ltd,"Base, Precious & PGMs",Second Renewal,20120930,367.00,Metals,367.00
PL686/2009,MOD Resources Botswana (Pty) Ltd,"Base, Precious 8t PGMs",First Renewal,20120930,463.00,Metals,463.00
PL688/2009,Silverspring Investments (Pty) Ltd,"Base, Precious & PGMs",New Application,20120930,531.20,Metals,531.20
PL689/2009,Silverspring Investments (Pty) Ltd,"Base, Precious & PGMs",New Application,20120930,531.20,Metals,531.20
PL703/2009,Greatways Properties (Pty) Ltd,Coal & Coalbed Methane,Original,20120930,735.30,Energy,735.30
PL676/2009,Amves Enterprises (Pty) Ltd,Precious Stones,Original,20120930,864.70,,864.70
PL077/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",First Renewal,20120930,904.00,Metals,904.00
PL700/2009,Bonnyridge (Pty) Ltd,"Base, Precious & PGMs",Original,20120930,983.00,Metals,983.00
PL702/2009,Bonnyridge (Pty) Ltd,"Base, Precious & PGMs",Original,20120930,990.40,Metals,990.40
PL701/2009,Bonnyridge (Pty) Ltd,"Base, Precious & PGMs",Original,20120930,992.20,Metals,992.20
PL135/2005,A-cap Resources Botswana (Pty) Ltd,"Base, Precious, PGMs & Uranium",Extension,20120930,"48,204.00",Metals & Radioactive,"48,204.00"
PL715/2009,Malmesburg (Pty) Ltd,"Base, Precious & PGMs",Original,20120930,,Metals,
Folio 42,,"Base, Precious 8t PGMs",New Application,20120830,,Metals,
Folio 47a,,"Base, Precious & PGMs",New Application,20120830,,Metals,
Folio 47b,,"Base, Precious 8t PGMs",New Application,20120830,,Metals,
Folio 47c,,"Base, Precious 8t PGMs",New Application,20120830,,Metals,
Folio 1,,"Base, Precious & PGMs",New Application,20120730,,Metals,
Folio la,,"Base, Precious 8t PGMs",New Application,20120730,,Metals,
PL653/2009,Firestone Diamonds Limited,Precious Stones,Original,20120630,9.30,,9.30
PL657/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,9.30,,9.30
PL656/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,9.50,,9.50
PL627/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,19.30,,19.30
PL626/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,19.80,,19.80
PL556/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,34.60,,34.60
PL581/2009,Cordite (Pty) Ltd,"Base, Precious & Rare Metals",Original,20120630,216.00,Metals,216.00
PL655/2009,Silverspring Investments (Pty) Ltd,Base Metals,Original,20120630,257.00,Metals,257.00
PL580/2009,Cordite (Pty) Ltd,"Base, Precious & Rare Metals",Original,20120630,309.00,Metals,309.00
PL654/2009,Silverspring Investments (Pty) Ltd,Base Metals,Original,20120630,342.90,Metals,342.90
PL644/2009,Nata Energy (Pty) Ltd,Coal & Coalbed Methane,Original,20120630,479.00,Energy,479.00
Folio li,,"Base, Precious 8t PGMs",New Application,20120630,517.70,Metals,517.70
PL587/2009,Round Square (Pty) Ltd,"Base, Precious & PGMs",Original,20120630,564.00,Metals,564.00
PL645/2009,Nata Energy (Pty) Ltd,Coal & Coalbed Methane,Original,20120630,653.00,Energy,653.00
PL069/2003,Mount Burgess Mining N L,Base 8t Precious Metals,Extension,20120630,704.00,Metals,704.00
PL643/2009,Gcwihaba Resources (Pty) Ltd,Precious Stones,Original,20120630,785.60,,785.60
PL642/2009,Gcwihaba Resources (Pty) Ltd,Precious Stones,Original,20120630,838.30,,838.30
PL064/2005,Newdico (Pty) Ltd,Precious Stones,First Renewal,20120630,851.00,,851.00
PL641/2009,Gcwihaba Resources (Pty) Ltd,Precious Stones,Original,20120630,922.30,,922.30
PL604/2009,Meerkat Energy Botswana (Pty) Ltd,Coal & Coalbed Methane,Original,20120630,932.00,Energy,932.00
PL624/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,957.90,,957.90
PL622/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,983.60,,983.60
PL616/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,986.80,,986.80
PL623/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,992.90,,992.90
PL615/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,993.50,,993.50
PL612/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,996.50,,996.50
PL613/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,996.90,,996.90
PL610/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,997.20,,997.20
PL611/2009,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20120630,999.50,,999.50
PL095/2012,Gcwihaba Resources (Pty) Ltd,"Base, Precious & PGMs",Original,20120630,,Metals,
