PL NO.,COMPANY,COMMODITY,STATUS,EXPIRY DATE,AREA,MINERAL RIGHT,AREA ORIG
PL033/2007,Monak Ventures (Pty) Ltd,Precious Stones,First Renewal,20110331,1.70,,1.70
PL160/2008,Triprop Holdings (Pty) Ltd,"Base, Precious & PGMs",Original,20110331,23.30,Metals,23.30
PL164/2008,Triprop Holdings (Pty) Ltd,"Base, Precious & PGMs",Original,20110331,43.00,Metals,43.00
PL163/2008,Triprop Holdings (Pty) Ltd,"Base, Precious & PGMs",Original,20110331,54.10,Metals,54.10
PL143/2008,The Northern Lights Exploration Company (Pty) Ltd,Radioactive,Original,20101231,623.60,Radioactive Minerals,623.60
PL108/2008,Icilion Investment (Pty) Ltd,Radioactive Minerals,Original,20101231,885.00,Radioactive Minerals,885.00
PL125/2008,Icilion Investment (Pty) Ltd,Radioactive Minerals,Original,20101231,960.00,Radioactive Minerals,960.00
PL071/2008,Cardia Mining Botswana (Pty) Ltd,Radioactive Minerals,Original,20101231,991.00,Radioactive Minerals,991.00
PL029/2008,DiamonEx Botswana Limited,"Base, Precious & PGMs",Original,20101231,"1,000.00",Metals,"1,000.00"
PL229/2007,Sekaka Diamonds (Pty) Ltd,Base 8t Precious metals,Original,20100930,1.00,Metals,1.00
PL198/2007,Namtroc (Pty) Ltd,Precious Stones,Original,20100930,319.20,,319.20
PL048/2003,Daly City Ventures (Pty) Ltd,Precious Stones,Second Renewal,20100630,93.00,,93.00
PL207/2012,Sekaka Diamonds (Pty) Ltd,Precious Stones,Original,20100630,553.94,,553.94
PL085/2007,Kukama Mining & Exploration (Pty) Ltd,Precious Stones,Original,20100630,847.30,,847.30
PL059/2007,Geo Perspectives (Pty) Ltd,Precious Stones,Original,20100331,20.00,,20.00
PL060/2007,Geo Perspectives (Pty) Ltd,Precious Stones,Original,20100331,28.40,,28.40
PL014/2003,Mineral Holdings (Botswana) (Pty) Ltd.,Base 8t Precious metals,Second Renewal,20100331,40.38,Metals,40.38
PL028/2007,Sesame Seed Holdings (Pty) Ltd,Coal & Coalbed Methane,Original,20100331,432.62,Energy,432.62
PL027/2007,Sesame Seed Holdings (Pty) Ltd,Coal & Coalbed Methane,Original,20100331,465.77,Energy,465.77
PL076/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,479.00,Metals & Radioactive,479.00
PL079/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,629.50,Metals & Radioactive,629.50
PL081/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,785.10,Metals & Radioactive,785.10
PL026/2007,Sesame Seed Holdings (Pty) Ltd,Coal & Coalbed Methane,Original,20100331,804.73,Energy,804.73
PL078/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,934.20,Metals & Radioactive,934.20
PL068/2007,Pam Botswana (Pty) Ltd,Precious Stones,Original,20100331,960.20,,960.20
PL067/2007,Pam Botswana (Pty) Ltd,Precious Stones,Original,20100331,962.80,,962.80
PL066/2007,Pam Botswana (Pty) Ltd,Precious Stones,Original,20100331,970.00,,970.00
PL073/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,990.70,Metals & Radioactive,990.70
PL073/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,990.70,Metals & Radioactive,990.70
PL077/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,994.70,Metals & Radioactive,994.70
PL074/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,995.50,Metals & Radioactive,995.50
PL074/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,995.50,Metals & Radioactive,995.50
PL025/2007,Sesame Seed Holdings (Pty) Ltd,Coal & Coalbed Methane,Original,20100331,"1,000.00",Energy,"1,000.00"
PL075/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,"1,000.00",Metals & Radioactive,"1,000.00"
PL080/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,"1,000.00",Metals & Radioactive,"1,000.00"
PL082/2007,Cam Bow Holdings (Pty) Ltd,"Base, Precious & Radioactive Minerals",Original,20100331,"1,000.00",Metals & Radioactive,"1,000.00"
BK 16,Competition Area,Precious Stones,New Application,20091231,1.03,,1.03
ML8/75,Debswana Diamond Company (Pty) Ltd,Precious Stones,Mining Licence,20090729,25.02,,25.02
PL063/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",Original,20090630,267.49,Metals & Radioactive,267.49
PL059/2003,Sekaka Diamonds (Pty) Ltd,Precious Stones,First Renewal,20090630,375.90,,375.90
PL068/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclearfuels",Original,20090630,434.00,Metals & Radioactive,434.00
PL068/2006,Manica Minerals Limited,"PGM's precious-metals, base-metals & nuclear fuels",Original,20090630,434.00,Metals & Radioactive,434.00
PL066/2006,Manica Minerals Limited,"PGM's, Precious Metals, Base Metals & Nuclear Fuels",Original,20090630,896.29,Metals & Radioactive,896.29
PL065/2003,Joren (Pty) Ltd,"Base, Precious & PGMs",First Renewal,20090331,14.00,Metals,14.00
PL008/2001,Tati Nickel Mining Company (Pty) Ltd,"Base, Precious & PGMs",First Renewal,20081231,4.00,Metals,4.00
PL059/2008,African Metals (Pty) Ltd,"Base, Precious & PGMs",Original,20081231,908.40,Metals,908.40
PL070/2005,Newdico (Pty) Ltd,Precious Stones,Applied for Renewal,20080630,970.69,,970.69
ML10/71,Debswana Diamond Company (Pty) Ltd,Precious Stones,Mining Licence,20070929,279.60,,279.60
RTL1/2001,Gope Exploration Company (Pty) Ltd,Precious Stones,Retention Licence (S,20061231,45.93,,45.93
PL036/2003,Seolo Botswana (Pty) Ltd,Precious Stones,First Renewal,20060630,838.90,,838.90
ML1/2000,Debswana Diamond Company (Pty) Ltd,Precious Stones,Mining Licence,18991230,0.00,,0.00
,Geocontracts Botswana (Pty) Ltd,Precious Stones,New Application,18991230,0.00,,0.00
Folio 1,,Precious Stones,Original,18991230,0.00,,0.00
Folio 16,,Precious Stones,New Application,18991230,0.00,,0.00
Folio 33,,Precious Stones,New Application,18991230,0.00,,0.00
Folio 4,,Precious Stones,New Application,18991230,0.00,,0.00
Folio 63,,Precious Stones,New Application,18991230,0.00,,0.00
Folio 7,,Precious Stones,New Application,18991230,0.00,,0.00
Folio Folio 9,,Precious Stones,Original,18991230,0.00,,0.00
PL019/2012,De Beers Holdings Botswana (Pty) Ltd,Precious Stones,First Renewal,18991230,47.30,,47.30
Folio 1,,Precious Stones,New Application,18991230,62.00,,62.00
ML13/77JW,Debswana Diamond Company (Pty) Ltd,Precious Stones,Mining Licence,18991230,113.20,,113.20
PL246/2014,Regimen Botswana(PTY)Ltd,Base Metal,New,18991230,623.00,Metals,623.00
Folio 49,,Precious Stones,New Application,18991230,894.20,,894.20
Folio 49,,Precious Stones,New Application,18991230,980.00,,980.00
Folio 49,,Precious Stones,New Application,18991230,980.00,,980.00
Folio 49,,Precious Stones,New Application,18991230,985.00,,985.00
RTL011a/2004,Meepong Resources (Pty) Ltd,Coal,Applied for mining license,18991230,,Energy,
Folio la,,,,18991230,,Energy,
Folio la,,,,18991230,,Energy,
Folio lb,,,,18991230,,Energy,
PL112/2013,MDM Group Companies (Pty) Ltd,"Base, Precious & PGMs",,18991230,,Metals,
PL113/2013,MDM Group Companies (Pty) Ltd,"Base, Precious & PGMs",,18991230,,Metals,
PL114/2013,MDM Group Companies (Pty) Ltd,"Base, Precious & PGMs",,18991230,,Metals,
Folio 14a,,"Base, Precious 8t PGMs",New application,18991230,,Metals,
Folio 16d,,"Base, Precious 8t PGMs",New Application,18991230,,Metals,
Folio la,,,,18991230,,Metals,
Folio la,,"Base, Precious & PGMs",New Application,18991230,,Metals,
Folio la,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio la,,"Base, Precious & PGMs",New Application,18991230,,Metals,
Folio la,,Metals,New Application,18991230,,Metals,
Folio lb,,"Base, Precious 8t PGMs",New Application,18991230,,Metals,
Folio lb,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio lb,,Metals,New Application,18991230,,Metals,
Folio lc,,"Base, Precious 8t PGMs",New Application,18991230,,Metals,
Folio lc,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio lc,,Metals,New Application,18991230,,Metals,
Folio ld,,Metals,New Application,18991230,,Metals,
Folio le,,Metals,New Application,18991230,,Metals,
Folio lf,,Metals,New Application,18991230,,Metals,
Folio 28a,,"Base, Precious 8t PGMs",New Application,18991230,,Metals,
Folio 3a,,"Base, Precious & PGMs",New Application,18991230,,Metals,
Folio 4a,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4a,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4b,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4c,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4c,,"Base, Precious 8t PGMs",New,18991230,,Metals,
Folio 4d,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4e,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4f,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4g,,"Base, Precious Metals",New Application,18991230,,Metals,
Folio 4h,,"Base, Precious Metals",New Application,18991230,,Metals,
Area 1,Icillion Investments (Pty) Ltd,Radioactive Minerals,,18991230,,,
B,Ocean Ridge (Pty) Ltd,Uranium,,18991230,,P overlap,
D,Ocean Ridge (Pty) Ltd,Uranium,,18991230,,Plotted successfully,
E,Ocean Ridge (Pty) Ltd,Uranium,,18991230,,Plotted successfully,
Kokong B,Ocean Ridge (Pty) Ltd,Uranium,,18991230,,P overlap,
Kokong D,Ocean Ridge (Pty) Ltd,Uranium,,18991230,,P overlap,
H,,Uranium,,18991230,,Plotted successfully,
BK4_Comp,Competition Area,Precious Stones,New Application,18991230,,,
PL108/2010,De Beers Holdings Botswana (Pty) Ltd,Precious Stones,First Renewal,18991230,,,
Folio 10a,,Precious Stones,New Application,18991230,,,
Folio la,,Precious Stones,New Application,18991230,,,
Folio la,,Precious Stones,New Application,18991230,,,
Folio la,,Precious Stones,New Application,18991230,,,
Folio lb,,Precious Stones,New Application,18991230,,,
Folio 2b,,Precious Stones,New Application,,33.77,,33.77
PL096/2011,Zhong Gan Engineering & Construction (Pty) Ltd,"Base, Precious Metals",First Renewal,,56.90,Metals,56.90
folio 1,,Radioactive Minerals,new,,132.10,Radioactive Minerals,132.10
Folio lj,,Coalbed Methane,New Application,,441.00,Energy,441.00
PL097/2011,Zhong Gan Engineering & Construction (Pty) Ltd,"Base, Precious Metals",First Renewal,,544.90,Metals,544.90
PL136/2010,Kubu Energy Resources (Pty) Ltd,Coal & Coalbed Methane,First Renewal,,985.00,Energy,985.00
PL135/2010,Kubu Energy Resources (Pty) Ltd,Coal & Coalbed Methane,First Renewal,,988.00,Energy,988.00
PL134/2010,Kubu Energy Resources (Pty) Ltd,Coal & Coalbed Methane,First Renewal,,997.00,Energy,997.00
PL473/2009,Centre's Alliance Mines (Pty) Ltd,Coal & Coalbed Methane,First Renewal,,,,
,Flusseyy Holdings (Pty) Ltd,Coal,New,,,Energy,
Foilio 5 kkolOn,,Coalbed Methane,New,,,,
Foilio 5 kko2n,,Coalbed Methane,New,,,,
Foilio 5 kko3n,,Coalbed Methane,New,,,,
Foilio 5 kko5n,,Coalbed Methane,New,,,,
Foilio 5 kko6n,,Coalbed Methane,New,,,,
Foilio 5 kko7n,,Coalbed Methane,New,,,,
Foilio 5 kko8n,,Coalbed Methane,New,,,,
Foilio 5 kko9n,,Coalbed Methane,New,,,,
Folio 1,,Coal & Coalbed Methane,New,,,,
Folio la,,,,,,Energy,
Folio la,,,,,,Energy,
Folio la,,,,,,Energy,
Folio la,,,,,,Energy,
Folio la,,Coalbed Methane,new,,,Energy,
Folio la,,,,,,Energy,
Folio la,,,,,,Energy,
Folio la,,Coal & Coalbed Methane,New,,,,
Folio lb,,,,,,Energy,
Folio lb,,,,,,Energy,
Folio lb,,Coal & Coalbed Methane,New,,,,
Folio lc,,,,,,Energy,
Folio lc,,Coal & Coalbed Methane,New,,,,
Folio ld,,,,,,Energy,
Folio ld,,Coal & Coalbed Methane,New,,,,
Folio le,,,,,,Energy,
Folio lh,,Coalbed Methane,new,,,Energy,
Folio li,,Coalbed Methane,new,,,Energy,
Folio 4,,Coal & Coalbed Methane,New,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 5a,,,,,,Energy,
Folio 8a,,,,,,Energy,
Folio 8a,,,,,,Energy,
Folio 8b,,,,,,Energy,
Folio 8c,,,,,,Energy,
Folio 8e,,,,,,Energy,
Folio 8f,,,,,,Energy,
Folio 81,,,,,,Energy,
Folio 8n,,,,,,Energy,
Folio 8q,,,,,,Energy,
folio f,,Coal,New,,,,
Foliol,,Coal & Coalbed Methane,Original,,,Energy,
Foliol,,Coal & Coalbed Methane,Original,,,Energy,
Foliol,,Coal & Coalbed Methane,Original,,,Energy,
Foliol,,Coal & Coalbed Methane,Original,,,Energy,
Foliol,,Coal & Coalbed Methane,Original,,,Energy,
PL051/2008,Gcwihaba Resources (Pty) Ltd,"Base, Precious 8t PGMs",Second Renewal,,,Metals,
PL052/2008,Gcwihaba Resources (Pty) Ltd,"Base, Precious 8t PGMs",Second Renewal,,,Metals,
,,,,,,,
Folio A,,Base 8t Precious metals,New,,,Metals,
Folio B,,Base 8t Precious metals,New,,,Metals,
Folio C,,Base 8t Precious metals,New,,,Metals,
Folio D,,Base 8t Precious metals,New,,,Metals,
Folio E,,Base 8t Precious metals,New,,,Metals,
Folio F,,Base 8t Precious metals,New,,,Metals,
Folio G,,Base 8t Precious metals,New,,,Metals,
Folio H,,Base 8t Precious metals,New,,,Metals,
Folio J,,Base 8t Precious metals,New,,,Metals,
Folio K,,Base 8t Precious metals,New,,,Metals,
Folio L,,Base 8t Precious metals,New,,,Metals,
Folio M,,Base 8t Precious metals,New,,,Metals,
Folio N,,Base 8t Precious metals,New,,,Metals,
Folio O,,Base 8t Precious metals,New,,,Metals,
Folio P,,Base 8t Precious metals,New,,,Metals,
Folio S,,Base 8t Precious metals,New,,,Metals,
Folio T,,Base 8t Precious metals,New,,,Metals,
Folio la,,"Base, Precious 8t PGMs",New,,,Metals,
folio a,,Radioactive Minerals,New Application,,,Radioactive Minerals,
folio a,,Radioactive Minerals,New Application,,,Radioactive Minerals,
folio b,,Radioactive Minerals,New Application,,,Radioactive Minerals,
folio c,,Radioactive Minerals,New Application,,,Radioactive Minerals,
folio d,,Radioactive Minerals,New Application,,,Radioactive Minerals,
folio 26,,Precious Stones,New Application,,,,
Folio 34,,Precious Stones,New Application,,,,
EL154/2012,Baobab Resources (Pty) Ltd,Petroleum,Original,20160930,"23711,9",Petroleum Minerals,"23711,9"
EL146/2012,Pelkbuck (Pty) Ltd,Petroleum,Original,20150630,"44731,3",Petroleum Minerals,"44731,3"
EL001/2012,Tamboran Botswana (Pty) Ltd,Petroleum,Original,20151231,"53554,4",Petroleum Minerals,"53554,4"
EL123/2013,Transfer Holdings,Petroleum,Original,20160630,"34,635.00",Petroleum Minerals,"34,635.00"
EL124/2013,Transfer Holdings,Petroleum,Original,20160630,"10,664.00",Petroleum Minerals,"10,664.00"
EL125/2013,Transfer Holdings,Petroleum,Original,20160630,"4,164.00",Petroleum Minerals,"4,164.00"
Folio 1,,Petroleum,New Application,18991230,,Petroleum Minerals,
Folio 1a,,Petroleum,New Application,18991230,,Petroleum Minerals,
Folio 1b,,Petroleum,New Application,18991230,,Petroleum Minerals,
Folio 1c,,Petroleum,New Application,18991230,,Petroleum Minerals,
Folio 27a,,Petroleum,New Application,20130228,,Petroleum Minerals,
Folio 5a,,Oil & gas,New application,18991230,"919,7",Petroleum Minerals,"919,7"
Folio 5b,,Oil & gas,New application,18991230,"1,000.00",Petroleum Minerals,"1,000.00"
Folio 5c,,Oil & gas,New application,18991230,"739,8",Petroleum Minerals,"739,8"
Folio 5d,,Oil & gas,New application,18991230,"881,4",Petroleum Minerals,"881,4"
Folio 5e,,Oil & gas,New application,18991230,"1,000.00",Petroleum Minerals,"1,000.00"
