parties_norm,parties_match,code,objectid,parties,archived,type,statusgrp,status,areaunit,layer_id,mapref,typeabb,part,layer_name,dtestart,areavalue,jurisdic,respoffice,name,region,summary,subtype,resources,stragreementconditionsjson,dtegranted,applno,typegroup,dtepegged,codeconcat,renewal,acccode,comments,interest,dteapplied,typecode,dteexpires,dterenewal,oldcode,resourcescd,operador,company,con_type,area_km,location,concession,operador_l,shape_leng,nomes,fc_id,objectid_1,source_name
"DH Mining Development, Co, Limitada","DH Mining Development, Co, Limitada",6204,1262172,"DH Mining Development Company, Lda ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"NAMPULA, MONAPO, ITOCULO",,Parte 1,Licença de Prospecção e Pesquisa,,1137.55,Moçambique,Maputo Cidade,,,,,"DS, SIL",,,,Pesquisa,,6204 L,,,,Pessoa Colectiva,2013-03-18,L,,,,"DS, SIL",,,,,,,,,,,,MZ
"Tayob Ibrahim e Co., Limitada","Tayob Ibrahim e Co., Limitada",4798,1263232,Tayob Ebrahim Omar,,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NIASSA, LAGO, COBUE; SANGA, MACALOGE, MATCHEDJE",,Parte 1,Licença de Prospecção e Pesquisa,,23580,Moçambique,Maputo Cidade,4798L,,,,COA,,2013-11-21,,Pesquisa,,4798 L,0,,,Pessoa Singular,2011-10-11,L,2018-11-21,,,COA,,,,,,,,,,,,MZ
"IGL - International Gems, Limitada","IGL - International Gems, Limitada",6976,1263598,"IGL-INTERNATIONAL GEMS, LDA ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"MANICA, MACOSSA, NGUAWALA",,Parte 1,Licença de Prospecção e Pesquisa,,500,Moçambique,Maputo Cidade,,,,,AU,,,,Pesquisa,,6976 L,,,,Pessoa Colectiva,2014-03-14,L,,,,AU,,,,,,,,,,,,MZ
"Mary Serviços, Limitada","Mary Serviços, Limitada",6412,1263879,"MARY SERVIÇOS, LDA ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"MANICA, TAMBARA, BAZUA, NHACOLO",,Parte 1,Licença de Prospecção e Pesquisa,,21697.83,Moçambique,Manica,,,,,AUM,,,,Pesquisa,,6412 L,,,,Pessoa Colectiva,2013-06-20,L,,,,AUM,,,,,,,,,,,,MZ
"Tramincorp Delta, Limitada","Tramincorp Delta, Limitada",6016,1264223,"TRAMINCORP DELTA,Limitada ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NIASSA, MAJUNE, MALANGA; MUEMBE, MUEMBE",,Parte 1,Licença de Prospecção e Pesquisa,,24770.38,Moçambique,Maputo Cidade,,,,,AUM,,2014-09-23,,Pesquisa,,6016 L,0,,,Pessoa Colectiva,2012-12-26,L,2019-09-23,,,AUM,,,,,,,,,,,,MZ
"China-Mozambique Cement & Mining Development. Company, Limitada","China-Mozambique Cement & Mining Development. Company, Limitada",4567,1264929,"China-Mozambique Cement Mining Development Company, Lda",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"SOFALA, BUZI, BUZI; NHAMATANDA, NHAMATANDA",,Parte 1,Licença de Prospecção e Pesquisa,,2760,Moçambique,Maputo Cidade,4567L,,,,LST,,2015-01-29,,Pesquisa,,4567 L,0,,,Pessoa Colectiva,2011-06-22,L,2020-01-29,,,LST,,,,,,,,,,,,MZ
MM-Manica Minerals Limitada,MM-Manica Minerals Limitada,3125,1257946,"Manica Minerals ( Mozambique), Limitada",,Licença de Reconhecimento,Extinto,Cancelado,Hectare,6,,,Parte 1,Todas Licenças Extinto,,297940,Moçambique,Maputo,3125R,,,,"Minerais Associados, Ouro, Prata",,,,Pesquisa,,3125 R,,,,Pessoa Colectiva,2008-09-09,R,,,,"AG, AU, MI",,,,,,,,,,,,MZ
"Sopir Moçambique, Limitada","Sopir Moçambique, Limitada",6485,1263793,SOPIR MOCAMBIQUE  ,,Certificado Mineiro,Em Vigor,Em Vigor,Hectare,2,"NIASSA, MECANHELAS, CHIUTA",,Parte 1,Certificado Mineiro,,413.96,Moçambique,Nampula,,,,,STO,,2013-08-07,,Exploração,,6485 CM,0,,,Pessoa Colectiva,2013-07-30,CM,2015-08-07,,,STO,,,,,,,,,,,,MZ
"SONIL - Sociedade do Niassa, Limitada","SONIL - Sociedade do Niassa, Limitada",4854,1265222,SONIL -Sociedade do Niassa,,Certificado Mineiro,Em Vigor,Em Vigor,Hectare,2,"NAMPULA, NACALA-A-VELHA, NACALA-A-VELHA",,Parte 1,Certificado Mineiro,,20.69,Moçambique,Maputo Cidade,4854CM,,,,SAN,,2014-09-09,,Exploração,,4854 CM,0,,,Pessoa Colectiva,2011-10-24,CM,2016-09-09,,,SAN,,,,,,,,,,,,MZ
"PAN African Engineering & Mining, Limitada","PAN African Engineering & Mining, Limitada",6947,1264600,"PAF, Lda ",,Certificado Mineiro,Pedido,Atribuição Pendente,Hectare,2,"MANICA, MANICA, VANDUZI",,Parte 1,Certificado Mineiro,,121.32,Moçambique,Manica,,,,,GR,,2014-12-12,,Exploração,,6947 CM,0,,"No que se refere a regularização dos direitos adiquiridos aluz do art. 14/2002, de 26 de Junho, foi autorizado a abtencao dos novos direitos preconizados no Lei 20/2014 de 18 de Agosto, do artigo 86. A Gov. da Provincia, autoriza atravez da nota nº 2412 GOM GG 090  DATADO NO DIA 10 12 2014, para a sua regularização para 10 anos.",Pessoa Colectiva,2014-03-11,CM,2024-12-12,,,GR,,,,,,,,,,,,MZ
"Greenstone Geo Resources, Limitada","Greenstone Geo Resources, Limitada",5429,1259352,"Greenstone Geo Resources, Lda ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"MANICA, MANICA, MACHIPANDA, MANICA, MESSICA",,Parte 1,Licença de Prospecção e Pesquisa,,4286.75,Moçambique,Maputo Cidade,,,,,AUM,,2013-02-11,,Pesquisa,,5429 L,0,,,Pessoa Colectiva,2012-05-18,L,2018-02-11,,,AUM,,,,,,,,,,,,MZ
"Nachinanga Minas Changara, Limitada","Nachinanga Minas Changara, Limitada",3360,1261527,"Nachinanga Minas Changara, Limitada ",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"TETE, CHANGARA, CHIPEMBERE",,Parte 1,Licença de Prospecção e Pesquisa,,9160,Moçambique,Maputo Cidade,3360L,,,,"AU, GEM, MI",,2009-10-26,,Pesquisa,,3360 L,0,,,Pessoa Singular,2009-10-23,L,2014-10-26,,,"AU, GEM, MI",,,,,,,,,,,,MZ
"Bengala Minas, Limitada","Bengala Minas, Limitada",6722,1263146,"BENGALA MINAS, LIMITADA ",,Licença de Prospecção e Pesquisa,Pedido,Aprovação Pendente,Hectare,3,"SOFALA, CHEMBA, CHEMBA; TETE, MUTARARA, NHAMAYABUE",,Part 1,Licença de Prospecção e Pesquisa,,15200.3,Moçambique,Maputo Cidade,,,,,COA,,,,Pesquisa,,6722 L,,,,Pessoa Colectiva,2013-10-29,L,,,,COA,,,,,,,,,,,,MZ
"Eureus Mining, Limitada","Eureus Mining, Limitada",6844,1263492,"AUREUS MINING LIMITADA (0,00%)",,Licença de Prospecção e Pesquisa,Pedido,Oposição Pendente,Hectare,3,"MANICA, SUSSUNDENGA, DOMBE",,Parte 1,Licença de Prospecção e Pesquisa,,3296,Moçambique,Maputo Cidade,,,,,AUM,,,,Pesquisa,,6844 L,,,,Pessoa Colectiva,2013-12-20,L,,,,AUM,,,,,,,,,,,,MZ
"Real Stone Exploration, Limitada","Real Stone Exploration, Limitada",6834,1264103,"REAL STONE EXPLORATION, LIMITADA (0,00%)",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"ZAMBEZIA, MAGANJA_DA_COSTA, MOCUBELA; MOCUBA, MOCUBA, MUGEBA",,Parte 1,Licença de Prospecção e Pesquisa,,13280.63,Moçambique,Maputo Cidade,,,,,"AU, REE, TAN",,2014-08-11,,Pesquisa,,6834 L,0,,,Pessoa Colectiva,2013-12-19,L,2019-08-11,,,"AU, REE, TAN",,,,,,,,,,,,MZ
"Radhika Stones, Limitada","Radhika Stones, Limitada",7109,1264799,"RADHIKA STONES, LIMITADA ",,Licença de Prospecção e Pesquisa,Pedido,Oposição Pendente,Hectare,3,"CABO_DELGADO, MONTEPUEZ, NAIROTO; NIASSA, MARRUPA, MARANGIRA",,Part 1,Licença de Prospecção e Pesquisa,,13437.98,Moçambique,Maputo Cidade,,,,,RUB,,,,Pesquisa,,7109 L,,,,Pessoa Colectiva,2014-11-27,L,,,,RUB,,,,,,,,,,,,MZ
"Mozac - Serviços, EI","Mozac - Serviços, EI",7196,1264683,MOZAC SERVICOS ,,Certificado Mineiro,Pedido,Aprovação Pendente,Hectare,2,"MAPUTO, NAMAACHA, NAMAACHA",,Parte 1,Certificado Mineiro,,76.97,Moçambique,Maputo Cidade,,,,,RIO,,,,Exploração,,7196 CM,,,,Pessoa Colectiva,2014-12-05,CM,,,,RIO,,,,,,,,,,,,MZ
"Shuang Long , Limitada","Shuang Long , Limitada",4460,1258619,"Shuang Long, Lda",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"ZAMBEZIA, MAGANJA_DA_COSTA, MAGANJA, MOCUBELA",,Parte 1,Licença de Prospecção e Pesquisa,,21067.01,Moçambique,Maputo Cidade,4460L,,,,TAN,,2013-03-14,,Pesquisa,,4460 L,0,,,Pessoa Colectiva,2011-05-13,L,2018-03-14,,,TAN,,,,,,,,,,,,MZ
"Asia Minerals Moçambique, Limitada","Asia Minerals Moçambique, Limitada",3502,1261597,"Asia Minerals Moçambique, Limitada",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectares,3,"TETE, LUENHA, LUENHA",,Parte 1,Licença de Prospecção e Pesquisa,,1240,Moçambique,Maputo Cidade,3502L,,,,"CU, MA, PB",,2010-09-22,,Pesquisa,,3502 L,0,,,Pessoa Colectiva,2009-10-12,L,2015-09-22,,,"CU, MA, PB",,,,,,,,,,,,MZ
"África Yuxiao Mining Development Company, Limitada","África Yuxiao Mining Development Company, Limitada",4826,1262854,"Africa Yuxiao Mining Development Company, Limitada",,Licença de Prospecção e Pesquisa,Pedido,Atribuição Pendente,Hectare,3,"CABO_DELGADO, MONTEPUEZ, MAPUPULO; NAMUNO, NAMUNO",,Parte 1,Licença de Prospecção e Pesquisa,,24640,Moçambique,Maputo Cidade,4826L,,,,"AU, FE",,2013-09-06,,Pesquisa,,4826 L,0,,,Pessoa Colectiva,2011-10-21,L,2017-04-03,,,"AU, FE",,,,,,,,,,,,MZ
"Massinga Comércio Investimentos e Serviços - Sociedade Unipessoal, Limitada","Massinga Comércio Investimentos e Serviços - Sociedade Unipessoal, Limitada",7015,1264146,"Massinga Comercio Investimentos e Serviços, Sociedade Unipessoal, Limitada (0,00%)",,Licença de Prospecção e Pesquisa,Em Vigor,Em Vigor,Hectare,3,"NAMPULA, MONAPO, ITOCULO; NACAROA, INTETE, NACAROA",,Parte 1,Licença de Prospecção e Pesquisa,,23919.38,Moçambique,Maputo Cidade,,,,,AUM,,2014-07-07,,Pesquisa,,7015 L,0,,Os Estatutos publicados no BR nao consta a actividade mineira no objecto da Requerente 01/08/2014,Pessoa Colectiva,2014-03-26,L,2019-07-07,,,AUM,,,,,,,,,,,,MZ
"Minas Tropicais de Moçambique, Limitada","Minas Tropicais de Moçambique, Limitada",4355,1258149,"MINAS TROPICAIS DE MOÇAMBIQUE, LDA, Hui Sun",,Licença de Prospecção e Pesquisa,Extinto,Abandono Total,Hectares,6,"CABO_DELGADO, MONTEPUEZ, NAIROTO; MUEDA, CHAPA, N'GAPA",,Parte 1,Todas Licenças Extinto,,19400,Moçambique,Maputo,4355L,,,,BME,,,,Pesquisa,,4355 L,,,,Pessoa Colectiva,2011-04-13,L,,,,BME,,,,,,,,,,,,MZ
"PAN African Engineering & Mining, Limitada","PAN African Engineering & Mining, Limitada",49,1258777,"PAF, Lda",,Concessão Mineira,Extinto,Cancelado,Hectare,6,"MANICA, GONDOLA, CAFUMPE",,Parte 1,Todas Licenças Extinto,,160,Moçambique,Maputo Cidade,49C,,,,Granito,,1999-11-29,,Exploração,,49 C,,,,Pessoa Colectiva,,C,2004-11-29,,68/C/99,GR,,,,,,,,,,,,MZ
"Egemony Resources (Moçambique), Limitada","Egemony Resources (Moçambique), Limitada",52,1258780,"Egemony Resources (Moz), Ltd",,Concessão Mineira,Extinto,Caducado,Hectares,6,"ZAMBEZIA, GILE, GILE",,Parte 1,Todas Licenças Extinto,,1280,Moçambique,Maputo Cidade,52C,,,,,,2009-12-20,,Exploração,,52 C,,,,Pessoa Colectiva,1990-08-23,C,2014-12-20,,71/C/99,,,,,,,,,,,,,MZ
"Inertes de Moçambique, Limitada","Inertes de Moçambique, Limitada",55,1258782,"Inertes de Moçambique, Lda",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"MAPUTO, MOAMBA, MOAMBA, SABIE",,Parte 1,Todas Licenças Extinto,,69,Moçambique,Maputo Cidade,55C,,,,SAN,,1999-12-20,,Exploração,,55 C,,,,Pessoa Colectiva,,C,2005-12-20,,56/C/99,SAN,,,,,,,,,,,,MZ
"Transpal, Limitada","Transpal, Limitada",56,1258783,"Transpal, Lda",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"SOFALA, CIDADE_DA_BEIRA, CIDADE_DA_BEIRA",,Parte 1,Todas Licenças Extinto,,464,Moçambique,Maputo Cidade,56C,,,,SAN,,1999-02-25,,Exploração,,56 C,,,,Pessoa Colectiva,1999-01-29,C,2010-02-25,,54/C/99,SAN,,,,,,,,,,,,MZ
"CONSULTEC - Consultores Associados, Limitada","CONSULTEC - Consultores Associados, Limitada",59,1258785,Consultec Ltd,,Concessão Mineira,Extinto,Caducado,Hectares,6,"CABO_DELGADO, MONTEPUEZ, MONTEPUEZ",,Parte 1,Todas Licenças Extinto,,700,Moçambique,Maputo Cidade,59C,,,,,,1999-04-22,,Exploração,,59 C,,,,Pessoa Colectiva,,C,2004-04-22,,55/C/99,,,,,,,,,,,,,MZ
"Tamar, Limitada","Tamar, Limitada",60,1258786,"Sociedade Tamar, Lda",,Concessão Mineira,Extinto,Caducado,Hectares,6,"CABO_DELGADO, MONTEPUEZ, MONTEPUEZ",,Parte 1,Todas Licenças Extinto,,140,Moçambique,Maputo Cidade,60C,,,,MAR,,1999-06-18,,Exploração,,60 C,,,,Pessoa Colectiva,1998-07-17,C,2007-06-18,,57/C/99,MAR,,,,,,,,,,,,MZ
"Casa Lido, Limitada","Casa Lido, Limitada",68,1258791,Casa Lido,,Concessão Mineira,Extinto,Revogado,Hectares,6,"ZAMBEZIA, MOCUBA, MOCUBA",,Parte 1,Todas Licenças Extinto,,5,Moçambique,Maputo Cidade,68C,,,,STO,,2000-12-21,,Exploração,,68 C,,,,Pessoa Colectiva,2000-10-17,C,2005-12-21,,93/C/00,STO,,,,,,,,,,,,MZ
"Mivlan, Limitada","Mivlan, Limitada",78,1258794,MIVLAN Limitada,,Concessão Mineira,Extinto,Caducado,Hectares,6,"ZAMBEZIA, ALTO_MOLOCUE, ALTO_MOLOCUE; GILE, GILE",,Parte 1,Todas Licenças Extinto,,3740,Moçambique,Maputo Cidade,78C,,,,"AU, BER, CB, EME, MGT, QTZ, TAN, TOU",,2005-04-29,,Exploração,,78 C,,,,Pessoa Colectiva,,C,2010-04-29,,78/C/00,"AU, BER, CB, EME, MGT, QTZ, TAN, TOU",,,,,,,,,,,,MZ
"CMM - Companhia Mineira de Morrua, Limitada","CMM - Companhia Mineira de Morrua, Limitada",79,1258795,Companhia Mineira de Morrua,,Concessão Mineira,Extinto,Caducado,Hectares,6,"ZAMBEZIA, ALTO_MOLOCUE, ALTO_MOLOCUE; ILE, MULEVALA",,Parte 1,Todas Licenças Extinto,,2513,Moçambique,Maputo Cidade,79C,,,,"CB, TAN, TOU",,2000-02-14,,Exploração,,79 C,,,,Pessoa Colectiva,,C,2012-02-14,,97/C/00,"CB, TAN, TOU",,,,,,,,,,,,MZ
"Indústria Cerâmica de Maputo, Limitada - ICEMA, Limitada","Indústria Cerâmica de Maputo, Limitada - ICEMA, Limitada",80,1258796,"ICEMA - Indústria Cerâmica de Maputo, Limitada",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"MAPUTO, BOANE, BOANE",,Parte 1,Todas Licenças Extinto,,79,Moçambique,Maputo Cidade,80C,,,,CLA,,2000-01-17,,Exploração,,80 C,,,,Pessoa Colectiva,1999-02-12,C,2004-01-17,,77/C/00,CLA,,,,,,,,,,,,MZ
"Zembe Estates, Limitada","Zembe Estates, Limitada",2175,1259179,"ZEMBE ESTATES, LDA",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"SOFALA, CHERINGOMA, INHAMINGA",,Parte 1,Todas Licenças Extinto,,500,Moçambique,Maputo Cidade,2175C,,,,GUA,,,,Exploração,,2175 C,,,,Pessoa Colectiva,2007-08-17,C,,,,GUA,,,,,,,,,,,,MZ
"Zembe Estates, Limitada","Zembe Estates, Limitada",2178,1259180,"ZEMBE ESTATES, LDA",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"SOFALA, BUZI, BUZI, ESTAQUINHA; CHIBABAVA, GOONDA",,Parte 1,Todas Licenças Extinto,,4880,Moçambique,Maputo Cidade,2178C,,,,GUA,,,,Exploração,,2178 C,,,,Pessoa Colectiva,2007-08-17,C,,,,GUA,,,,,,,,,,,,MZ
"Zembe Estates, Limitada","Zembe Estates, Limitada",2184,1259182,"ZEMBE ESTATES, LDA",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"SOFALA, CHIBABAVA, CHIBABAVA, MUXUNGUE",,Parte 1,Todas Licenças Extinto,,500,Moçambique,Maputo Cidade,2184C,,,,"GUA, LST",,,,Exploração,,2184 C,,,,Pessoa Colectiva,2007-08-24,C,,,,"GUA, LST",,,,,,,,,,,,MZ
"União Financeira e Minerais, Limitada","União Financeira e Minerais, Limitada",2215,1259183,"UNIÃO FINANCEIRA E MINERAIS, LDA",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"SOFALA, BUZI, BUZI, ESTAQUINHA; CHIBABAVA, GOONDA",,Parte 1,Todas Licenças Extinto,,43660,Moçambique,Maputo Cidade,2215R,,,,"AU, BME, DIA, PT",,,,Pesquisa,,2215 R,,,,Pessoa Colectiva,2007-09-11,R,,,,"AU, BME, DIA, PT",,,,,,,,,,,,MZ
"União Financeira e Minerais, Limitada","União Financeira e Minerais, Limitada",2216,1259184,"UNIÃO FINANCEIRA E MINERAIS, LDA",,Licença de Reconhecimento,Extinto,Caducado,Hectares,6,"MANICA, MACHAZE, CHITOBE; SOFALA, CHIBABAVA, CHIBABAVA, GOONDA",,Parte 1,Todas Licenças Extinto,,94480,Moçambique,Maputo Cidade,2216L,,,,"AU, BME, DIA, PT",,2008-05-30,,Pesquisa,,2216 R,,,,Pessoa Colectiva,2007-09-11,R,2010-05-30,,,"AU, BME, DIA, PT",,,,,,,,,,,,MZ
"Africa Great Wall Cement Manufacturer, Limitada","Africa Great Wall Cement Manufacturer, Limitada",2298,1259187,"Africa Great Wall Cement Manufacture, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"CABO_DELGADO, CHIURE, NAMOGELIA, OCUA; NAMPULA, ERATI, NAMAPA",,Parte 1,Todas Licenças Extinto,,49980,Moçambique,Maputo Cidade,2298R,,,,"AU, CU",,,,Pesquisa,,2298 R,,,,Pessoa Colectiva,2007-10-12,R,,,,"AU, CU",,,,,,,,,,,,MZ
"Africa Great Wall Cement Manufacturer, Limitada","Africa Great Wall Cement Manufacturer, Limitada",2299,1259188,"Africa Great Wall Cement Manufacture, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"TETE, MARAVIA, CHIPUTU, MALOWERA",,Parte 1,Todas Licenças Extinto,,50020,Moçambique,Maputo Cidade,2299R,,,,"AU, CU",,2007-11-07,,Pesquisa,,2299 R,,,,Pessoa Colectiva,2007-10-12,R,2009-11-07,,,"AU, CU",,,,,,,,,,,,MZ
"Africa Great Wall Cement Manufacturer, Limitada","Africa Great Wall Cement Manufacturer, Limitada",2300,1259189,"Africa Great Wall Cement Manufacture, Lda",,Licença de Reconhecimento,Extinto,Cancelado,Hectares,6,"TETE, CHIFUNDE, NSADZU; MARAVIA, CHIPUTU, MALOWERA",,Parte 1,Todas Licenças Extinto,,34.28,Moçambique,Maputo Cidade,2300R,,,,"AU, CU",,,,Pesquisa,,2300 R,,,,Pessoa Colectiva,2007-10-12,R,,,,"AU, CU",,,,,,,,,,,,MZ
"Transportes Carlos Oliveira, Limitada","Transportes Carlos Oliveira, Limitada",2387,1259192,"TCO- Transportes Carlos Oliveira, Lda.",,Concessão Mineira,Extinto,Cancelado,Hectares,6,"SOFALA, NHAMATANDA, NHAMATANDA",,Parte 1,Todas Licenças Extinto,,500,Moçambique,Maputo Cidade,2387C,,,,"BAS, GR",,,,Exploração,,2387 C,,,,Pessoa Colectiva,2007-11-15,C,,,,"BAS, GR",,,,,,,,,,,,MZ
"Reis, Limitada","Reis, Limitada",4382,1265190,"REIS, LDA.",,Certificado Mineiro,Extinto,Caducado,Hectare,6,"MAPUTO, MOAMBA, SABIE",,Parte 1,Todas Licenças Extinto,,120,Moçambique,Maputo Cidade,4382CM,,,,STO,,2011-11-18,,Exploração,,4382 CM,0,,,Pessoa Colectiva,2011-04-20,CM,2013-11-18,,,STO,,,,,,,,,,,,MZ
"Niassa Metals, S.A","Niassa Metals, S.A",5403,1263896,"Niassa Metals, S.A ",,Licença de Prospecção e Pesquisa,Extinto,Abandono Total,Hectare,6,"TETE, ZUMBU, ZAMBUE, ZUMBU",,Parte 1,Todas Licenças Extinto,,12883.86,Moçambique,Maputo Cidade,,,,,"BME, U, ZN",,,,Pesquisa,,5403 L,,,,Pessoa Colectiva,2012-05-15,L,2014-06-30,,,"BME, U, ZN",,,,,,,,,,,,MZ
"Niassa Metals, S.A","Niassa Metals, S.A",5317,1263897,"Niassa Metals, S.A ",,Licença de Prospecção e Pesquisa,Extinto,Abandono Total,Hectare,6,"TETE, MARAVIA, FINGOE",,Parte 1,Todas Licenças Extinto,,13640.51,Moçambique,Maputo Cidade,,,,,"CU, U",,,,Pesquisa,,5317 L,,,,Pessoa Colectiva,2012-05-08,L,2013-10-16,,,"CU, U",,,,,,,,,,,,MZ
"Future Metal Mining Development.Co, Limitada","Future Metal Mining Development.Co, Limitada",5296,1263908,"Future Metal Mining Development CO., Lda ",,Licença de Prospecção e Pesquisa,Extinto,Pedido Cancelado,Hectare,6,"NIASSA, MAJUNE, MALANGA, MUAQUIA, NAIRRUBI",,Parte 1,Todas Licenças Extinto,,20908.39,Moçambique,Maputo Cidade,,,,,BME,,2012-08-30,,Pesquisa,,5296 L,0,,,Pessoa Colectiva,2012-05-07,L,2017-08-30,,,BME,,,,,,,,,,,,MZ
"Future Metal Mining Development.Co, Limitada","Future Metal Mining Development.Co, Limitada",4954,1263909,"Future Metal Mining Development CO., Lda",,Licença de Prospecção e Pesquisa,Extinto,Pedido Cancelado,Hectare,6,"NIASSA, MANDIMBA, MITANDE; NGAUMA, ITEPELA",,Parte 1,Todas Licenças Extinto,,17340,Moçambique,Maputo Cidade,4954L,,,,BME,,2012-05-23,,Pesquisa,,4954 L,0,,,Pessoa Colectiva,2011-11-16,L,2017-05-23,,,BME,,,,,,,,,,,,MZ
"Future Metal Mining Development.Co, Limitada","Future Metal Mining Development.Co, Limitada",4472,1263910,"Future Metal Mining Development CO., Lda",,Licença de Prospecção e Pesquisa,Extinto,Pedido Cancelado,Hectare,6,"MANICA, GURO, MUNGARI, NHAMASSONGE; TETE, LUENHA, LUENHA",,Parte 1,Todas Licenças Extinto,,19460,Moçambique,Maputo Cidade,4472L,,,,BME,,2012-01-31,,Pesquisa,,4472 L,0,,,Pessoa Colectiva,2011-05-18,L,2017-01-31,,,BME,,,,,,,,,,,,MZ
"Future Metal Mining Development.Co, Limitada","Future Metal Mining Development.Co, Limitada",4552,1263911,"Future Metal Mining Development CO., Lda",,Licença de Prospecção e Pesquisa,Extinto,Pedido Cancelado,Hectare,6,"TETE, CHANGARA, CHIPEMBERE; LUENHA, LUENHA",,Parte 1,Todas Licenças Extinto,,18500,Moçambique,Maputo Cidade,4552L,,,,BME,,2012-03-28,,Pesquisa,,4552 L,0,,,Pessoa Colectiva,2011-06-14,L,2017-03-28,,,BME,,,,,,,,,,,,MZ
"EME Investimentos, S.A.","EME Investimentos, S.A.",6043,1264289,"EMA INVESTIMENTOS, SA. ",,Licença de Prospecção e Pesquisa,Extinto,Caducado,Hectare,6,"TETE, MARAVIA, CHIPUTU",,Parte 1,Todas Licenças Extinto,,23206.73,Moçambique,Maputo Cidade,,,,,AU,,2014-07-03,,Pesquisa,,6043 L,0,,,Pessoa Colectiva,2013-01-03,L,2019-07-03,,,AU,,,,,,,,,,,,MZ
"África Great Wall Mining Development Company, Limitada","África Great Wall Mining Development Company, Limitada",3957,1263912,"África Great Wall Mining Development Company, Limitada ",,Licença de Prospecção e Pesquisa,Extinto,Pedido Cancelado,Hectare,6,"TETE, CAHORA_BASSA, CHINTHOLO; MAGOE, MUKUMBURA",,Parte 1,Todas Licenças Extinto,,21160,Moçambique,Maputo Cidade,3957L,,,,BME,,2011-12-16,,Pesquisa,,3957 L,0,,,Pessoa Colectiva,2010-10-05,L,2016-12-16,,,BME,,,,,,,,,,,,MZ
"Terramãe, Limitada","Terramãe, Limitada",7134,1264410,Terra Mae Lda ,,Certificado Mineiro,Extinto,Pedido Cancelado,Hectare,6,"SOFALA, NHAMATANDA, NHAMATANDA",,Part 1,Todas Licenças Extinto,,282.71,Moçambique,Maputo Cidade,,,,,STO,,,,Exploração,,7134 CM,,,,Pessoa Colectiva,2014-12-01,CM,,,,STO,,,,,,,,,,,,MZ
"Niassa Metals, S.A","Niassa Metals, S.A",5571,1264419,"Niassa Metals, S.A ",,Licença de Prospecção e Pesquisa,Extinto,Abandono Total,Hectare,6,"CABO_DELGADO, MONTEPUEZ, NAIROTO",,Parte 1,Todas Licenças Extinto,,20287.18,Moçambique,Maputo Cidade,,,,,"AG, CU, NI, PT",,2013-01-10,,Pesquisa,,5571 L,0,,,Pessoa Colectiva,2012-06-20,L,2014-12-01,,,"AG, CU, NI, PT",,,,,,,,,,,,MZ
"Reddy's Global Industries, Limitada","Reddy's Global Industries, Limitada",3614,1264420,"Reddys Global Industries, Lda",,Licença de Prospecção e Pesquisa,Extinto,Abandono Total,Hectare,6,"TETE, CHANGARA, CHIPEMBERE",,Parte 1,Todas Licenças Extinto,,16780,Moçambique,Maputo Cidade,3614L,,,,COA,,2010-02-17,,Pesquisa,,3614 L,0,,,Pessoa Colectiva,2010-01-11,L,2014-12-01,,,COA,,,,,,,,,,,,MZ
"Zumbo & Indico Investimentos,Limitada","Zumbo & Indico Investimentos,Limitada",3734,1264421,"Zumbo - Índico Investimentos, Lda",,Certificado Mineiro,Extinto,Abandono Total,Hectare,6,"MAPUTO, NAMAACHA, NAMAACHA",,Parte 1,Todas Licenças Extinto,,40,Moçambique,Manica,3734CM,,,,STO,,2010-12-24,,Exploração,,3734 CM,0,,,Pessoa Colectiva,2010-04-22,CM,2014-12-01,,,STO,,,,,,,,,,,,MZ
